,West Virginia,forecast,interval_low,interval_high
2020-06-06,0.0,0.7159341318266732,0.5372328162193298,1.1294043064117432
2020-06-07,0.0,0.8355381659099034,0.5018901228904724,1.312302589416504
2020-06-08,0.0,0.9681933096476963,0.5795632600784302,1.489527702331543
2020-06-09,0.0,0.9689343912260873,0.6842193603515625,1.2075203657150269
2020-06-10,1.0,0.9390195693288531,0.6457394361495972,1.1256412267684937
2020-06-11,1.0,0.9450807912009103,0.7111166715621948,1.1673781871795654
2020-06-12,2.0,0.9788936291422162,0.6515172719955444,1.238410472869873
2020-06-13,0.0,0.8819939919880458,0.5795878767967224,1.1114599704742432
2020-06-14,0.0,0.8306526286261422,0.7029203176498413,0.9687561988830566
2020-06-15,0.0,0.7870758686746869,0.7116268277168274,0.9218542575836182
2020-06-16,0.0,0.7139063903263637,0.6154589653015137,0.8820453882217407
2020-06-17,0.0,0.6497600589479718,0.5297359228134155,0.7535585165023804
2020-06-18,0.0,0.6103644626481193,0.5300310254096985,0.6859158873558044
2020-06-19,0.0,0.5732313479696002,0.4157428443431854,0.697178840637207
2020-06-20,0.0,0.49821555614471436,0.1931523084640503,0.6774133443832397
2020-06-21,1.0,0.4319873239312853,0.15062260627746582,0.6676816940307617
2020-06-22,0.0,0.37206598264830454,0.1494622528553009,0.5677160024642944
2020-06-23,3.0,0.3355413228273392,0.1494622528553009,0.4853357970714569
2020-06-24,0.0,0.33348982461861204,0.2150755673646927,0.524600625038147
2020-06-25,0.0,0.39139149870191303,0.21003994345664978,0.6925455331802368
2020-06-26,0.0,0.4736417127507074,0.21003994345664978,0.7785261869430542
2020-06-27,1.0,0.5092192100627082,0.23687933385372162,0.7651890516281128
2020-06-28,0.0,0.5538834972040994,0.3381952941417694,0.78526771068573
2020-06-29,0.0,0.5984296926430294,0.3540917932987213,0.6952922940254211
2020-06-30,0.0,0.6564652238573346,0.57586669921875,0.7000882625579834
2020-07-01,0.0,0.587236395903996,0.3512917160987854,0.6959307193756104
2020-07-02,0.0,0.5295310744217464,0.2864934206008911,0.729727029800415
2020-07-03,0.0,0.47394474489348276,0.26081719994544983,0.6818768978118896
2020-07-04,1.0,0.42885707105909077,0.2469816505908966,0.6440379619598389
2020-07-05,0.0,0.35060472786426544,0.23128414154052734,0.5403280258178711
2020-07-06,1.0,0.3271676003932953,0.22205311059951782,0.47602540254592896
2020-07-07,0.0,0.33024126291275024,0.2996908128261566,0.40456265211105347
2020-07-08,0.0,0.34962097236088346,0.2931550145149231,0.46935826539993286
2020-07-09,0.0,0.3660049225602831,0.28058701753616333,0.4906902313232422
2020-07-10,0.0,0.376387928213392,0.2845260798931122,0.4832063913345337
2020-07-11,1.0,0.3916316585881369,0.3381952941417694,0.4587363302707672
2020-07-12,0.0,0.39316119466509136,0.34202590584754944,0.4538842439651489
2020-07-13,1.0,0.418822637626103,0.3164154887199402,0.46247416734695435
2020-07-14,0.0,0.4199888791356768,0.38105833530426025,0.4504583179950714
2020-07-15,1.0,0.42239804353032795,0.36444827914237976,0.46935826539993286
2020-07-16,1.0,0.43107385294778006,0.3873121440410614,0.5502662658691406
2020-07-17,1.0,0.45929733770234243,0.35907813906669617,0.656917929649353
2020-07-18,0.0,0.518351537840707,0.3833701014518738,0.7705966830253601
2020-07-19,0.0,0.5634364485740662,0.4010274410247803,0.7566066980361938
2020-07-20,0.0,0.5996620612485069,0.45746299624443054,0.7428637742996216
2020-07-21,1.0,0.590902179479599,0.4450820982456207,0.7200590968132019
2020-07-22,0.0,0.594247117638588,0.48981955647468567,0.6931480765342712
2020-07-23,1.0,0.6121630787849426,0.43150097131729126,0.7311793565750122
2020-07-24,1.0,0.6391534507274628,0.542129635810852,0.6958507299423218
2020-07-25,0.0,0.5972651640574137,0.5620721578598022,0.6245704889297485
2020-07-26,0.0,0.5344326794147491,0.5199061632156372,0.5489591956138611
2020-07-27,1.0,0.460198312997818,0.460198312997818,0.460198312997818
2020-07-28,,0.6649471521377563,0.6649471521377563,0.6649471521377563
2020-07-29,,0.6043984889984131,0.6043984889984131,0.6043984889984131
2020-07-30,,0.5901398658752441,0.5901398658752441,0.5901398658752441
2020-07-31,,0.6109068393707275,0.6109068393707275,0.6109068393707275
2020-08-01,,0.618781566619873,0.618781566619873,0.618781566619873
2020-08-02,,0.6049937009811401,0.6049937009811401,0.6049937009811401
2020-08-03,,0.5663185119628906,0.5663185119628906,0.5663185119628906
