,Nevada,forecast,interval_low,interval_high
2020-07-14,1104.0,1484.6688173518019,,
2020-07-15,849.0,839.9279320175416,,
2020-07-16,1447.0,1832.5411671069699,,
2020-07-17,1380.0,459.9213379266862,,
2020-07-18,1182.0,1308.6632882766282,,
2020-07-19,,1181.8125544909294,978.9850922511084,1384.6400167307504
2020-07-20,,1299.5376095552556,1091.0593804434072,1508.015838667104
2020-07-21,,1304.3613443079726,1086.86297744293,1521.859711173015
2020-07-22,,1358.0662038090034,1135.920983731525,1580.2114238864817
2020-07-23,,1525.5532055117585,1292.7195930515425,1758.3868179719746
2020-07-24,,1417.6304265732083,1179.2900660706791,1655.9707870757375
2020-07-25,,1477.052717484327,1218.716602055998,1735.3888329126562
