,Ohio,forecast,interval_low,interval_high
2020-05-24,503.0,515.615234375,479.8952941894531,570.9957885742188
2020-05-25,566.0,521.8511352539062,482.52545166015625,576.1781005859375
2020-05-26,529.0,547.2947387695312,516.7568359375,586.0340576171875
2020-05-27,433.0,571.5394897460938,534.8019409179688,603.44287109375
2020-05-28,476.0,568.8427734375,539.0062866210938,600.14404296875
2020-05-29,651.0,582.9258422851562,555.900390625,597.760009765625
2020-05-30,467.0,583.3224487304688,553.1923828125,627.8721923828125
2020-05-31,480.0,514.1155395507812,471.27728271484375,596.0612182617188
2020-06-01,471.0,526.4607543945312,482.1850280761719,603.3236694335938
2020-06-02,366.0,560.9222412109375,528.3602294921875,616.2573852539062
2020-06-03,442.0,599.4260864257812,559.072509765625,645.7771606445312
2020-06-04,490.0,592.9528198242188,559.5057983398438,639.602294921875
2020-06-05,476.0,607.1345825195312,576.8564453125,635.9033813476562
2020-06-06,353.0,599.527099609375,566.5464477539062,657.8909912109375
2020-06-07,365.0,458.1087646484375,425.00860595703125,516.0101928710938
2020-06-08,361.0,468.0022888183594,431.4256286621094,523.54638671875
2020-06-09,325.0,497.0469665527344,468.93255615234375,534.87548828125
2020-06-10,413.0,520.6947631835938,487.5450744628906,553.4547729492188
2020-06-11,429.0,516.733154296875,489.44512939453125,550.3905639648438
2020-06-12,420.0,527.221435546875,503.05859375,544.3737182617188
2020-06-13,427.0,527.2332153320312,499.7482604980469,570.4569702148438
2020-06-14,297.0,403.3012390136719,374.19866943359375,438.5179748535156
2020-06-15,428.0,409.9023132324219,378.6690979003906,446.0535888671875
2020-06-16,434.0,433.9353332519531,408.5194091796875,456.9087829589844
2020-06-17,412.0,445.4126892089844,416.5357666015625,466.30999755859375
2020-06-18,700.0,444.8492431640625,420.77783203125,465.7033996582031
2020-06-19,609.0,453.3207092285156,432.0546569824219,469.42742919921875
2020-06-20,530.0,459.054931640625,435.4284362792969,487.96649169921875
2020-06-21,547.0,430.2042236328125,405.4544677734375,461.1995544433594
2020-06-22,729.0,433.9128112792969,407.2507629394531,465.5941162109375
2020-06-23,590.0,454.5167236328125,430.6649475097656,473.8068542480469
2020-06-24,632.0,465.5458068847656,438.191650390625,480.39447021484375
2020-06-25,892.0,466.6064147949219,445.5711669921875,479.7127685546875
2020-06-26,987.0,475.6695251464844,456.67144775390625,495.7875061035156
2020-06-27,817.0,478.3511657714844,457.45947265625,508.4606018066406
2020-06-28,854.0,630.2623291015625,594.0164794921875,679.4125366210938
2020-06-29,737.0,627.4984741210938,587.5924682617188,677.8920288085938
2020-06-30,743.0,643.225830078125,610.4151000976562,681.5521850585938
2020-07-01,1076.0,666.0015258789062,626.2683715820312,693.627197265625
2020-07-02,1301.0,664.6441650390625,634.7733764648438,690.9813232421875
2020-07-03,1091.0,688.1183471679688,660.8153076171875,704.7347412109375
2020-07-04,926.0,691.25146484375,658.9841918945312,738.561767578125
2020-07-05,967.0,925.2763061523438,849.7274169921875,989.3421630859375
2020-07-06,806.0,895.09130859375,818.2971801757812,943.4117431640625
2020-07-07,948.0,880.40185546875,821.1546630859375,914.4558715820312
2020-07-08,1277.0,888.257080078125,824.906494140625,931.3005981445312
2020-07-09,1150.0,892.62841796875,839.9247436523438,922.3897094726562
2020-07-10,1525.0,951.4221801757812,902.3258056640625,990.00048828125
2020-07-11,1358.0,986.8303833007812,920.9633178710938,1024.4461669921875
2020-07-12,1378.0,1101.6260986328125,999.3154907226562,1211.4996337890625
2020-07-13,1261.0,1053.9312744140625,951.1153564453125,1138.415771484375
2020-07-14,1142.0,1021.5130004882812,941.809814453125,1067.882568359375
2020-07-15,1316.0,1029.2218017578125,945.6705322265625,1081.748291015625
2020-07-16,1290.0,1039.2620849609375,966.7841186523438,1082.15185546875
2020-07-17,1679.0,1125.1226806640625,1055.232666015625,1187.9893798828125
2020-07-18,1541.0,1171.9801025390625,1081.4766845703125,1246.0166015625
2020-07-19,,1230.1273193359375,1109.0015869140625,1302.7689208984375
2020-07-20,,1178.5826416015625,1051.325927734375,1267.142333984375
2020-07-21,,1162.96923828125,1062.836181640625,1244.159423828125
2020-07-22,,1215.662353515625,1114.00146484375,1312.2069091796875
2020-07-23,,1222.37939453125,1134.607666015625,1296.9888916015625
2020-07-24,,1344.3023681640625,1259.8128662109375,1392.521240234375
2020-07-25,,1370.4132080078125,1256.6961669921875,1428.5015869140625
