,California,forecast,interval_low,interval_high
2020-07-12,5782.0,8344.367466517857,7443.5400390625,10150.1513671875
2020-07-13,8814.0,9534.738978794643,8055.4296875,10777.7978515625
2020-07-14,12854.0,10668.253627232143,9799.5400390625,11579.2421875
2020-07-15,8674.0,10764.705636160714,9926.021484375,11659.8759765625
2020-07-16,9821.0,10155.90736607143,9243.6787109375,11435.7890625
2020-07-17,8553.0,9123.247349330357,8528.51953125,9562.314453125
2020-07-18,7486.0,8505.960030691964,7045.82568359375,9616.5673828125
2020-07-19,6161.0,8539.09946986607,7022.26953125,9325.76953125
2020-07-20,10964.0,9383.868094308036,7994.06494140625,9992.361328125
2020-07-21,11435.0,10400.8779296875,9813.173828125,10927.5556640625
2020-07-22,11981.0,10801.627766927084,9790.82421875,11662.484375
2020-07-23,9487.0,10400.9890625,9743.1416015625,11171.30859375
2020-07-24,9412.0,9030.74853515625,8361.46484375,9821.9287109375
2020-07-25,6267.0,7929.462076822917,7259.42138671875,8803.6796875
2020-07-26,5836.0,7648.82275390625,7553.48828125,7744.1572265625
2020-07-27,5833.0,8658.349609375,8658.349609375,8658.349609375
2020-07-28,,10539.64453125,10539.64453125,10539.64453125
2020-07-29,,11443.5029296875,11443.5029296875,11443.5029296875
2020-07-30,,12104.3056640625,12104.3056640625,12104.3056640625
2020-07-31,,8801.259765625,8801.259765625,8801.259765625
2020-08-01,,6532.4208984375,6532.4208984375,6532.4208984375
2020-08-02,,5977.34326171875,5977.34326171875,5977.34326171875
2020-08-03,,6875.12890625,6875.12890625,6875.12890625
