,Northern Mariana Islands,forecast,interval_low,interval_high
2020-05-04,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-05-05,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-05-06,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-05-07,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-05-08,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-05-09,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-05-10,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-05-11,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-05-12,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-05-13,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-05-14,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-05-15,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-05-16,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-05-17,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-05-18,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-05-19,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-05-20,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-05-21,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-05-22,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-05-23,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-05-24,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-05-25,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-05-26,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-05-27,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-05-28,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-05-29,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-05-30,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-05-31,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-06-01,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-06-02,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-06-03,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-06-04,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-06-05,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-06-06,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
2020-06-07,0.0,0.008131833747029305,0.0053255874663591385,0.017637602984905243
2020-06-08,0.0,0.002956195967271924,0.0003369817277416587,0.006398824974894524
2020-06-09,0.0,0.006548771169036627,0.0004088957794010639,0.014205601997673512
2020-06-10,0.0,0.007492354605346918,0.004648628644645214,0.013091563247144222
2020-06-11,0.0,0.006979028694331646,0.0030757945496588945,0.016824351623654366
2020-06-12,0.0,0.008674116805195808,0.003371015191078186,0.01986362412571907
2020-06-13,0.0,0.014932987280189991,0.011626141145825386,0.020522944629192352
2020-06-14,0.0,0.008131834678351879,0.005325589329004288,0.017637604847550392
2020-06-15,0.0,0.0029561955016106367,0.0003369812620803714,0.006398824043571949
2020-06-16,0.0,0.0065487707033753395,0.0004088960122317076,0.014205602928996086
2020-06-17,0.0,0.007492354605346918,0.0046486277133226395,0.013091562315821648
2020-06-18,0.0,0.006979029625654221,0.0030757959466427565,0.016824351623654366
2020-06-19,0.0,0.008674117736518383,0.0033710175193846226,0.01986362412571907
2020-06-20,0.0,0.014932987280189991,0.011626140214502811,0.020522944629192352
