,Ohio,forecast,interval_low,interval_high
2020-06-02,366.0,289.51002896097714,289.51002896097714,289.51002896097714
2020-06-03,442.0,499.2217820898786,499.2217820898786,499.2217820898786
2020-06-04,490.0,558.8607037020681,558.8607037020681,558.8607037020681
2020-06-05,476.0,466.0442353290897,466.0442353290897,466.0442353290897
2020-06-06,353.0,355.79355063572746,355.79355063572746,355.79355063572746
2020-06-07,365.0,402.39248585759685,402.39248585759685,402.39248585759685
2020-06-08,361.0,366.3270189006974,366.3270189006974,366.3270189006974
2020-06-09,325.0,320.1920717394376,320.1920717394376,320.1920717394376
2020-06-10,413.0,505.83441172802384,505.83441172802384,505.83441172802384
2020-06-11,429.0,415.68745938303084,415.68745938303084,415.68745938303084
2020-06-12,420.0,423.5141690296376,423.5141690296376,423.5141690296376
2020-06-13,427.0,454.2249372974417,454.2249372974417,454.2249372974417
2020-06-14,297.0,260.53865484915036,260.53865484915036,260.53865484915036
2020-06-15,428.0,456.97238269794934,456.97238269794934,456.97238269794934
2020-06-16,434.0,460.0037612736742,460.0037612736742,460.0037612736742
2020-06-17,412.0,399.7828805699448,399.7828805699448,399.7828805699448
2020-06-18,700.0,752.8609773615763,752.8609773615763,752.8609773615763
2020-06-19,609.0,568.6007589054385,568.6007589054385,568.6007589054385
2020-06-20,530.0,500.3651486838387,500.3651486838387,500.3651486838387
2020-06-21,547.0,534.1983415536148,534.1983415536148,534.1983415536148
2020-06-22,729.0,707.2433160306739,707.2433160306739,707.2433160306739
2020-06-23,590.0,626.1235935665215,626.1235935665215,626.1235935665215
2020-06-24,632.0,566.667681667767,566.667681667767,566.667681667767
2020-06-25,892.0,1002.4280307567087,1002.4280307567087,1002.4280307567087
2020-06-26,987.0,907.2939489619848,907.2939489619848,907.2939489619848
2020-06-27,817.0,761.9362101882936,761.9362101882936,761.9362101882936
2020-06-28,854.0,883.6521981279026,883.6521981279026,883.6521981279026
2020-06-29,737.0,685.3812195209812,685.3812195209812,685.3812195209812
2020-06-30,743.0,690.8976567563466,690.8976567563466,690.8976567563466
2020-07-01,1076.0,1194.7358165290052,1194.7358165290052,1194.7358165290052
2020-07-02,1301.0,1290.4319701762815,1290.4319701762815,1290.4319701762815
2020-07-03,1091.0,1059.7371092146225,1059.7371092146225,1059.7371092146225
2020-07-04,926.0,870.6336471798652,870.6336471798652,870.6336471798652
2020-07-05,967.0,928.8158726082032,928.8158726082032,928.8158726082032
2020-07-06,806.0,788.6711226242949,788.6711226242949,788.6711226242949
2020-07-07,948.0,988.3956821539502,988.3956821539502,988.3956821539502
2020-07-08,1277.0,1395.9544521118735,1395.9544521118735,1395.9544521118735
2020-07-09,1150.0,1151.7328814468697,1151.7328814468697,1151.7328814468697
2020-07-10,1525.0,1456.4439893830047,1456.4439893830047,1456.4439893830047
2020-07-11,1358.0,1352.4239934989473,1352.4239934989473,1352.4239934989473
2020-07-12,1378.0,1265.2749519984752,1265.2749519984752,1265.2749519984752
2020-07-13,1261.0,1218.8736300510423,1218.8736300510423,1218.8736300510423
2020-07-14,1142.0,1110.0185016226696,1110.0185016226696,1110.0185016226696
2020-07-15,1316.0,1442.3751147223916,1442.3751147223916,1442.3751147223916
2020-07-16,1290.0,1179.7006799716132,1179.7006799716132,1179.7006799716132
2020-07-17,1679.0,1861.147194599144,1861.147194599144,1861.147194599144
2020-07-18,1541.0,1501.3429804094837,1501.3429804094837,1501.3429804094837
2020-07-19,1111.0,940.5254088024202,940.5254088024202,940.5254088024202
2020-07-20,,1284.3235025776223,1065.32704044428,1503.3199647109645
2020-07-21,,1141.4987220056682,834.754064261232,1448.2433797501044
2020-07-22,,1234.2459779739913,884.8418413230025,1583.6501146249802
2020-07-23,,1409.9606362997993,1029.38131884473,1790.5399537548685
2020-07-24,,1308.0441308064196,913.0380515503389,1703.0502100625004
2020-07-25,,1408.4224773837325,998.7198598574503,1818.1250949100147
2020-07-26,,1315.109343705557,891.8205162867857,1738.3981711243282
