,Puerto Rico,forecast,interval_low,interval_high
2020-04-19,1213.0,917.4993286132812,899.61962890625,942.671142578125
2020-04-20,1252.0,946.472412109375,934.5397338867188,968.6567993164062
2020-04-21,1298.0,991.5115356445312,968.1134033203125,1027.0308837890625
2020-04-22,1252.0,1028.98681640625,1005.792236328125,1063.564453125
2020-04-23,1416.0,1040.3697509765625,1020.6605834960938,1072.197265625
2020-04-24,1276.0,1098.4449462890625,1085.06689453125,1123.2125244140625
2020-04-25,1307.0,1129.9835205078125,1110.3936767578125,1166.89892578125
2020-04-26,1371.0,1303.2696533203125,1281.8438720703125,1334.5703125
2020-04-27,1389.0,1340.3433837890625,1324.647705078125,1370.21826171875
2020-04-28,1400.0,1395.8746337890625,1366.155029296875,1440.594482421875
2020-04-29,1433.0,1441.6085205078125,1413.713623046875,1485.5970458984375
2020-04-30,1539.0,1466.72265625,1439.30908203125,1510.203369140625
2020-05-01,1575.0,1530.4935302734375,1512.771728515625,1562.8856201171875
2020-05-02,1757.0,1564.5361328125,1537.9097900390625,1613.802490234375
2020-05-03,1808.0,1547.3092041015625,1534.84765625,1569.8841552734375
2020-05-04,1843.0,1592.8282470703125,1576.939208984375,1616.537109375
2020-05-05,1924.0,1644.1048583984375,1622.12060546875,1681.3079833984375
2020-05-06,1968.0,1695.3179931640625,1677.5938720703125,1730.520263671875
2020-05-07,2031.0,1754.0726318359375,1733.430419921875,1792.066162109375
2020-05-08,2156.0,1798.86474609375,1780.0567626953125,1820.7236328125
2020-05-09,2173.0,1830.3720703125,1800.56396484375,1872.4805908203125
2020-05-10,2198.0,1917.6424560546875,1892.3555908203125,1954.0076904296875
2020-05-11,2256.0,1966.4932861328125,1944.8436279296875,2005.9111328125
2020-05-12,2299.0,2039.0572509765625,2002.5867919921875,2091.822998046875
2020-05-13,2329.0,2102.609619140625,2068.46142578125,2156.755126953125
2020-05-14,2427.0,2130.974365234375,2093.650390625,2187.287841796875
2020-05-15,2542.0,2216.042724609375,2195.3955078125,2255.52392578125
2020-05-16,2589.0,2263.379150390625,2229.444091796875,2326.775390625
2020-05-17,2646.0,2434.940185546875,2425.87939453125,2451.50048828125
2020-05-18,2710.0,2498.0947265625,2479.391845703125,2524.40625
2020-05-19,2805.0,2570.763427734375,2550.69775390625,2604.8427734375
2020-05-20,2866.0,2645.762451171875,2625.72216796875,2680.6044921875
2020-05-21,2913.0,2713.686767578125,2690.65380859375,2755.235595703125
2020-05-22,3030.0,2784.953125,2765.56787109375,2801.892822265625
2020-05-23,3100.0,2837.729248046875,2800.8544921875,2884.362060546875
2020-05-24,3189.0,2893.272216796875,2886.3134765625,2899.544677734375
2020-05-25,3260.0,2964.882568359375,2946.03076171875,2986.828125
2020-05-26,3324.0,3049.468017578125,3036.666015625,3074.013916015625
2020-05-27,3397.0,3134.2451171875,3114.89111328125,3161.177734375
2020-05-28,3486.0,3205.791748046875,3187.828125,3241.252197265625
2020-05-29,3647.0,3291.4951171875,3273.845703125,3302.53173828125
2020-05-30,3718.0,3358.463134765625,3319.930908203125,3399.1552734375
2020-05-31,3776.0,3460.901611328125,3445.18994140625,3480.1259765625
2020-06-01,3873.0,3544.887939453125,3526.691162109375,3555.281005859375
2020-06-02,3935.0,3636.5478515625,3628.514892578125,3641.5595703125
2020-06-03,4023.0,3733.571044921875,3716.150390625,3744.62060546875
2020-06-04,4508.0,3823.2216796875,3807.910400390625,3840.644775390625
2020-06-05,4620.0,3914.287841796875,3896.94873046875,3945.931640625
2020-06-06,4915.0,3997.454345703125,3958.0732421875,4018.91357421875
2020-06-07,4985.0,4106.41748046875,4066.9287109375,4145.7197265625
2020-06-08,5046.0,4203.88671875,4186.7431640625,4228.80224609375
2020-06-09,5185.0,4302.9560546875,4282.701171875,4327.345703125
2020-06-10,5329.0,4414.14794921875,4398.30517578125,4445.04833984375
2020-06-11,5352.0,4520.6796875,4507.82470703125,4536.11572265625
2020-06-12,5536.0,4620.7294921875,4577.1279296875,4674.80712890625
2020-06-13,5690.0,4724.73291015625,4684.7900390625,4765.220703125
2020-06-14,5811.0,5239.0390625,5187.72607421875,5287.1005859375
2020-06-15,5890.0,5354.31494140625,5337.33349609375,5379.93212890625
2020-06-16,5951.0,5479.236328125,5449.37548828125,5510.439453125
2020-06-17,6003.0,5622.03466796875,5602.40673828125,5655.37255859375
2020-06-18,6111.0,5708.47509765625,5696.64794921875,5726.826171875
2020-06-19,6195.0,5862.287109375,5806.7158203125,5925.431640625
2020-06-20,6463.0,6021.423828125,5978.3447265625,6070.8466796875
2020-06-21,6525.0,6203.412109375,6116.6875,6286.90478515625
2020-06-22,6564.0,6341.59814453125,6300.12548828125,6400.54931640625
2020-06-23,6685.0,6465.04833984375,6403.3134765625,6528.51513671875
2020-06-24,6820.0,6614.24609375,6559.2158203125,6683.57177734375
2020-06-25,6877.0,6768.89453125,6725.74560546875,6825.06640625
2020-06-26,6922.0,6910.765625,6810.99365234375,7018.54248046875
2020-06-27,7066.0,7085.33642578125,7036.50830078125,7181.462890625
2020-06-28,7189.0,6950.67041015625,6871.6494140625,7030.85009765625
2020-06-29,7250.0,7103.16845703125,7066.75634765625,7160.22119140625
2020-06-30,7465.0,7234.9921875,7185.70703125,7291.2802734375
2020-07-01,7537.0,7396.13427734375,7353.6923828125,7457.359375
2020-07-02,7608.0,7566.10205078125,7531.7265625,7618.71826171875
2020-07-03,7683.0,7728.875,7634.26171875,7837.33984375
2020-07-04,7787.0,7925.63330078125,7871.52783203125,8023.0810546875
2020-07-05,7916.0,7689.77685546875,7630.43017578125,7757.97314453125
2020-07-06,8585.0,7855.7578125,7829.96533203125,7905.70947265625
2020-07-07,8714.0,7999.35009765625,7976.15771484375,8038.47900390625
2020-07-08,8745.0,8164.77490234375,8138.59228515625,8207.96484375
2020-07-09,8862.0,8356.3828125,8329.849609375,8398.0986328125
2020-07-10,9137.0,8541.46484375,8464.08984375,8642.806640625
2020-07-11,9366.0,8753.7353515625,8690.16015625,8844.22265625
2020-07-12,9654.0,8547.4228515625,8524.478515625,8562.4951171875
2020-07-13,10010.0,8718.83984375,8683.0556640625,8757.22265625
2020-07-14,10123.0,8909.2978515625,8876.896484375,8969.9912109375
2020-07-15,10379.0,9085.9638671875,9045.8232421875,9162.533203125
2020-07-16,10574.0,9225.4658203125,9184.2685546875,9287.1513671875
2020-07-17,11120.0,9496.4521484375,9453.7861328125,9536.9609375
2020-07-18,11453.0,9755.8525390625,9676.552734375,9812.328125
2020-07-19,,9952.15234375,9822.7529296875,10141.1591796875
2020-07-20,,10152.3818359375,10037.4697265625,10327.486328125
2020-07-21,,10371.8212890625,10188.1376953125,10630.130859375
2020-07-22,,10586.4853515625,10381.099609375,10867.7763671875
2020-07-23,,10690.94921875,10531.1904296875,10928.64453125
2020-07-24,,11062.9482421875,10966.767578125,11250.4599609375
2020-07-25,,11366.0029296875,11246.970703125,11601.2724609375
