,Diamond Princess,forecast,interval_low,interval_high
2020-07-11,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-12,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-13,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-07-14,0.0,4.289150092517957e-05,3.007054328918457e-05,5.269050598144531e-05
2020-07-15,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-16,0.0,3.762841151910834e-05,5.364418029785156e-07,5.269050598144531e-05
2020-07-17,0.0,3.659129288280383e-05,-4.649162292480469e-06,5.269050598144531e-05
2020-07-18,0.0,7.340312004089355e-05,-4.649162292480469e-06,0.00022560358047485352
2020-07-19,,7.340312004089355e-05,-4.649162292480469e-06,0.00022560358047485352
2020-07-20,,3.49581241607666e-05,-9.59634780883789e-06,5.269050598144531e-05
2020-07-21,,4.111528323846869e-05,2.1189451217651367e-05,5.269050598144531e-05
2020-07-22,,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-07-23,,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-07-24,,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
2020-07-25,,3.708601070684381e-05,9.5367431640625e-06,5.269050598144531e-05
