,New Jersey,forecast,interval_low,interval_high
2020-06-13,441.0,622.029174099712,622.029174099712,622.029174099712
2020-06-14,276.0,4.005582679867587,4.005582679867587,4.005582679867587
2020-06-15,222.0,397.63162300741243,397.63162300741243,397.63162300741243
2020-06-16,323.0,398.9446416108242,398.9446416108242,398.9446416108242
2020-06-17,277.0,124.26481507123825,124.26481507123825,124.26481507123825
2020-06-18,404.0,433.7339661325943,433.7339661325943,433.7339661325943
2020-06-19,389.0,145.27262996976114,145.27262996976114,145.27262996976114
2020-06-20,338.0,339.65292261258196,339.65292261258196,339.65292261258196
2020-06-21,308.0,351.74554918741165,351.74554918741165,351.74554918741165
2020-06-22,273.0,291.98675306205905,291.98675306205905,291.98675306205905
2020-06-23,319.0,365.11242611121327,365.11242611121327,365.11242611121327
2020-06-24,158.0,63.66917424649631,63.66917424649631,63.66917424649631
2020-06-25,304.0,599.9285416280375,599.9285416280375,599.9285416280375
2020-06-26,388.0,159.42696273531155,159.42696273531155,159.42696273531155
2020-06-27,289.0,90.75371285144573,90.75371285144573,90.75371285144573
2020-06-28,309.0,460.69808693734836,460.69808693734836,460.69808693734836
2020-06-29,90.0,72.96697049033679,72.96697049033679,72.96697049033679
2020-06-30,395.0,747.733837007664,747.733837007664,747.733837007664
2020-07-01,261.0,0.0,0.0,0.0
2020-07-02,428.0,617.8197432254553,617.8197432254553,617.8197432254553
2020-07-03,386.0,167.8603361651305,167.8603361651305,167.8603361651305
2020-07-04,291.0,349.3572158011984,349.3572158011984,349.3572158011984
2020-07-05,369.0,535.0366392201256,535.0366392201256,535.0366392201256
2020-07-06,209.0,45.28048936759913,45.28048936759913,45.28048936759913
2020-07-07,267.0,564.1749702200752,564.1749702200752,564.1749702200752
2020-07-08,161.0,84.22720443483172,84.22720443483172,84.22720443483172
2020-07-09,231.0,435.9398164561244,435.9398164561244,435.9398164561244
2020-07-10,358.0,244.3537876060174,244.3537876060174,244.3537876060174
2020-07-11,331.0,71.40747894558092,71.40747894558092,71.40747894558092
2020-07-12,339.0,370.4565623411447,370.4565623411447,370.4565623411447
2020-07-13,224.0,197.32522979746466,197.32522979746466,197.32522979746466
2020-07-14,393.0,578.3621627862393,578.3621627862393,578.3621627862393
2020-07-15,363.0,39.48681533007493,39.48681533007493,39.48681533007493
2020-07-16,223.0,250.11194268402275,250.11194268402275,250.11194268402275
2020-07-17,50.0,355.9410885307175,355.9410885307175,355.9410885307175
2020-07-18,263.0,605.5297105246486,605.5297105246486,605.5297105246486
2020-07-19,,91.3403949666482,-612.6176117709683,795.2984017042647
2020-07-20,,132.3028565853221,-596.3118425258249,860.9175556964692
2020-07-21,,165.56399082828963,-728.9453690992159,1060.0733507557952
2020-07-22,,120.10067197253235,-886.4317241929587,1126.6330681380234
2020-07-23,,73.39820412874136,-1039.7465640041828,1186.5429722616655
2020-07-24,,45.226577775278294,-1174.7959258596895,1265.249081410246
2020-07-25,,58.24083743765317,-1299.7788110846916,1416.260485959998
